año	mes	pp
1994	8	16.2
1994	9	19.9
1994	10	21.3
1994	11	25.0
1994	12	29.4
1995	1	27.5
1995	2	25.4
1995	3	25.5
1995	4	20.7
1995	5	18.1
1995	6	14.9
1995	7	14.3
1995	8	16.0
1995	9	19.5
1995	10	21.1
1995	11	26.0
1995	12	29.1
1996	1	28.0
1996	2	26.8
1996	3	26.5
1996	4	22.8
1996	5	19.3
1996	6	14.5
1996	7	13.3
1996	8	19.0
1996	9	18.5
1996	10	23.2
1996	11	26.5
1996	12	28.3
1997	1	31.0
1997	2	27.1
1997	3	26.8
1997	4	23.6
1997	5	20.9
1997	6	16.1
1997	7	17.9
1997	8	18.0
1997	9	19.8
1997	10	22.6
1997	11	25.5
1997	12	27.3
1998	1	27.3
1998	2	26.7
1998	3	24.8
1998	4	22.1
1998	5	19.8
1998	6	16.7
1998	7	17.5
1998	8	16.8
1998	9	18.3
1998	10	24.1
1998	11	25.0
1998	12	26.8
1999	1	27.6
1999	2	28.8
1999	3	28.0
1999	4	21.1
1999	5	19.1
1999	6	16.2
1999	7	15.0
1999	8	18.2
1999	9	21.5
1999	10	23.4
1999	11	26.1
1999	12	28.5
2000	1	31.2
2000	2	29.1
2000	3	26.0
2000	4	23.7
2000	5	19.1
2000	6	17.5
2000	7	13.9
2000	8	17.8
2000	9	20.0
2000	10	23.1
2000	11	25.1
2000	12	28.7
2001	1	30.7
2001	2	30.7
2001	3	28.6
2001	4	23.9
2001	5	19.2
2001	6	17.9
2001	7	16.8
2001	8	21.0
2001	9	20.3
2001	10	23.8
2001	11	26.4
2001	12	28.7
2002	1	29.8
2002	2	28.5
2002	3	28.8
2002	4	22.6
2002	5	22.3
2002	6	15.7
2002	7	16.2
2002	8	19.5
2002	9	20.6
2002	10	25.8
2002	11	27.6
2002	12	28.4
2003	1	31.1
2003	2	29.3
2003	3	27.8
2003	4	23.1
2003	5	20.6
2003	6	19.1
2003	7	16.0
2003	8	17.3
2003	9	20.9
2003	10	25.6
2003	11	27.3
2003	12	27.4
2004	1	31.0
2004	2	28.3
2004	3	28.8
2004	4	25.0
2004	5	18.3
2004	6	18.4
2004	7	17.8
2004	8	19.2
2004	9	22.3
2004	10	24.0
2004	11	26.6
2004	12	29.5
2005	1	30.8
2005	2	29.8
2005	3	27.0
2005	4	22.6
2005	5	20.9
2005	6	19.8
2005	7	18.2
2005	8	18.9
2005	9	19.6
2005	10	23.2
2005	11	28.3
2005	12	29.2
2006	1	32.3
2006	2	29.9
2006	3	26.7
2006	4	25.3
2006	5	19.5
2006	6	19.4
2006	7	20.3
2006	8	17.9
2006	9	21.6
2006	10	27.0
2006	11	27.7
2006	12	31.2
